iter	Passed	Remaining
784	3319	909
785	3324	905
786	3329	901
787	3332	896
788	3336	892
789	3340	887
790	3344	883
791	3348	879
792	3352	875
793	3356	870
794	3360	866
795	3363	862
796	3367	857
797	3371	853
798	3375	849
799	3379	844
800	3383	840
801	3387	836
802	3391	832
803	3395	827
804	3399	823
805	3403	819
806	3407	814
807	3411	810
808	3415	806
809	3419	801
810	3423	797
811	3427	793
812	3430	789
813	3434	784
814	3439	780
815	3442	776
816	3446	772
817	3451	767
818	3456	763
819	3460	759
820	3464	755
821	3468	750
822	3472	746
823	3475	742
824	3479	738
825	3483	733
826	3487	729
827	3491	725
828	3495	720
829	3499	716
830	3504	712
831	3508	708
832	3511	704
833	3515	699
834	3519	695
835	3523	691
836	3527	686
837	3531	682
838	3536	678
839	3540	674
840	3544	670
841	3548	665
842	3551	661
843	3555	657
844	3559	652
845	3563	648
846	3567	644
847	3571	640
848	3575	635
849	3579	631
850	3582	627
851	3586	623
852	3590	618
853	3594	614
854	3598	610
855	3602	605
856	3606	601
857	3610	597
858	3613	593
859	3617	588
860	3621	584
861	3625	580
862	3629	576
863	3632	571
864	3637	567
865	3641	563
866	3645	559
867	3649	554
868	3653	550
869	3657	546
870	3661	542
871	3664	537
872	3668	533
873	3672	529
874	3676	525
875	3680	520
876	3684	516
877	3688	512
878	3692	508
879	3696	504
880	3699	499
881	3703	495
882	3707	491
883	3711	487
884	3715	482
885	3719	478
886	3723	474
887	3726	470
888	3730	465
889	3734	461
890	3738	457
891	3742	453
892	3747	449
893	3752	444
894	3755	440
895	3759	436
896	3763	432
897	3767	427
898	3771	423
899	3775	419
900	3779	415
901	3783	411
902	3787	406
903	3791	402
904	3794	398
905	3799	394
906	3803	389
907	3806	385
908	3810	381
909	3815	377
910	3818	373
911	3822	368
912	3826	364
913	3830	360
914	3834	356
915	3838	351
916	3842	347
917	3846	343
918	3849	339
919	3854	335
920	3857	330
921	3861	326
922	3865	322
923	3869	318
924	3872	314
925	3876	309
926	3880	305
927	3885	301
928	3889	297
929	3892	293
930	3897	288
931	3901	284
932	3904	280
933	3908	276
934	3913	272
935	3917	267
936	3921	263
937	3926	259
938	3931	255
939	3935	251
940	3939	247
941	3943	242
942	3947	238
943	3951	234
944	3955	230
945	3960	226
946	3964	221
947	3968	217
948	3972	213
949	3976	209
950	3980	205
951	3983	200
952	3987	196
953	3991	192
954	3995	188
955	3998	184
956	4003	179
957	4006	175
958	4011	171
959	4015	167
960	4018	163
961	4022	158
962	4026	154
963	4030	150
964	4035	146
965	4039	142
966	4043	138
967	4047	133
968	4051	129
969	4055	125
970	4059	121
971	4063	117
972	4066	112
973	4070	108
974	4075	104
975	4078	100
976	4082	96
977	4086	91
978	4091	87
979	4095	83
980	4099	79
981	4102	75
982	4107	71
983	4111	66
984	4115	62
985	4119	58
986	4123	54
987	4127	50
988	4130	45
989	4134	41
990	4138	37
991	4142	33
992	4146	29
993	4150	25
994	4154	20
995	4158	16
996	4162	12
997	4166	8
998	4171	4
999	4175	0
